view,angle_deg,mtf_a,mtf_b,mtf_c,nnps_a,nnps_b,nnps_c,nnps_d
0,-25.0,0.03693273573955476,1.1593203604747155,5.393109474913094,2.2624053217422042e-05,2.8364357131238593,2.3787296161281142e-05,14.878376920708249
1,-22.916666666666668,0.03622385134623769,1.1567588764377945,5.392437673730618,2.1981947506931705e-05,2.8461245886894986,2.2959083051304652e-05,15.074220207628251
2,-20.833333333333332,0.035574738249372885,1.1540969874448532,5.391843192758385,2.14180633161062e-05,2.854993027295897,2.2234503598431488e-05,15.260525233967705
3,-18.75,0.03498755245154126,1.151461563700567,5.391328698253721,2.092542268408873e-05,2.8630348821957883,2.1603636507537337e-05,15.435674859194041
4,-16.666666666666668,0.03445910033787722,1.148805187726571,5.390871753030209,2.0498086438317315e-05,2.870237808180262,2.1058276608178573e-05,15.597793078197455
5,-14.583333333333334,0.03399448730633236,1.1463533367493597,5.3904910343772485,2.0131242984733253e-05,2.8766048502261325,2.059138400032632e-05,15.745524699934716
6,-12.500000000000002,0.03359188280173573,1.1441000087735176,5.390171870018085,1.982078142274791e-05,2.882129915381319,2.0197239109302934e-05,15.877224624535089
7,-10.416666666666666,0.033254151399957195,1.142198840506553,5.3899239319871235,1.9563276019684477e-05,2.8868038782163206,1.9871190426690943e-05,15.9912184107416
8,-8.333333333333334,0.03297622340393929,1.1405206032525914,5.389718504080721,1.9356094266779382e-05,2.8906312176960416,1.9609330078997207e-05,16.086444566452528
9,-6.250000000000003,0.03276018927071113,1.1391800250593673,5.38956284289297,1.9197066897323533e-05,2.8936077002452385,1.940868394356272e-05,16.161672926144345
10,-4.166666666666667,0.032606038971354966,1.1382016046252232,5.389454009942771,1.9084619035517696e-05,2.895736470245896,1.9266917218492017e-05,16.2161623378981
11,-2.0833333333333353,0.03251354458522396,1.137611913450615,5.3893897568450235,1.901759653687276e-05,2.8970137404855842,1.9182491396372727e-05,16.249117639580657
12,-3.1805546814635168e-15,0.03248238825414696,1.137393516012316,5.389366382250956,1.8995323714561806e-05,2.897439477554182,1.9154448505115164e-05,16.260147547330924
13,2.083333333333332,0.03251354458522396,1.137611913450615,5.3893897568450235,1.901759653687276e-05,2.8970137404855842,1.9182491396372727e-05,16.249117639580657
14,4.166666666666667,0.032606038971354966,1.1382016046252232,5.389454009942771,1.9084619035517696e-05,2.895736470245896,1.9266917218492017e-05,16.2161623378981
15,6.2499999999999964,0.03276018927071113,1.1391800250593673,5.38956284289297,1.9197066897323533e-05,2.8936077002452385,1.940868394356272e-05,16.161672926144345
16,8.333333333333332,0.03297622340393929,1.1405206032525914,5.389718504080721,1.9356094266779382e-05,2.8906312176960416,1.9609330078997207e-05,16.086444566452528
17,10.416666666666666,0.033254151399957195,1.142198840506553,5.3899239319871235,1.9563276019684477e-05,2.8868038782163206,1.9871190426690943e-05,15.9912184107416
18,12.499999999999995,0.03359188280173573,1.1441000087735176,5.390171870018085,1.982078142274791e-05,2.882129915381319,2.0197239109302934e-05,15.877224624535089
19,14.58333333333333,0.03399448730633236,1.1463533367493597,5.3904910343772485,2.0131242984733253e-05,2.8766048502261325,2.059138400032632e-05,15.745524699934716
20,16.666666666666664,0.03445910033787722,1.148805187726571,5.390871753030209,2.0498086438317315e-05,2.870237808180262,2.1058276608178573e-05,15.597793078197455
21,18.749999999999993,0.03498755245154126,1.151461563700567,5.391328698253721,2.092542268408873e-05,2.8630348821957883,2.1603636507537337e-05,15.435674859194041
22,20.83333333333333,0.035574738249372885,1.1540969874448532,5.391843192758385,2.14180633161062e-05,2.854993027295897,2.2234503598431488e-05,15.260525233967705
23,22.916666666666664,0.03622385134623769,1.1567588764377945,5.392437673730618,2.1981947506931705e-05,2.8461245886894986,2.2959083051304652e-05,15.074220207628251
24,25.0,0.03693273573955476,1.1593203604747155,5.393109474913094,2.2624053217422042e-05,2.8364357131238593,2.3787296161281142e-05,14.878376920708249
